Match,Number of epochs,Learning rate,Node features,Dropout rate,Patience,Hidden dimension,Precision,Recall,F1 Score,Accuracy,AUROC
3-3,200,0.0005,10,0.3,20,32,0.8236117362976074,0.8592989444732666,0.8410769701004028,0.8543031811714172,0.8547683358192444
3-3,200,0.0005,10,0.5,20,32,0.8373983502388,0.902629017829895,0.8687909841537476,0.8776758313179016,0.8799991607666016
3-3,200,0.0005,10,0.5,20,64,0.877263605594635,0.8490749597549438,0.8629391193389893,0.8789864778518677,0.8762015104293823
3-3,200,0.0001,10,0.5,20,64,0.9044911861419678,0.7745862007141113,0.8345134854316711,0.8621668815612793,0.8540126085281372
3-3,200,0.001,10,0.5,20,64,0.8816682696342468,0.8851022124290466,0.8833819031715393,0.8951507210731506,0.8942152261734009
3-3,200,0.001,10,0.3,20,32,0.8889447450637817,0.8612463474273682,0.8748763799667358,0.8894714117050171,0.8868434429168701
3-3,200,0.002,10,0.3,20,32,0.8587433099746704,0.8583252429962158,0.8585342168807983,0.8730886578559875,0.8717141151428223
3-3,200,0.001,10,0.3,20,16,0.7849765419960022,0.8140214085578918,0.7992351651191711,0.8165137767791748,0.8162816762924194
3-3,250,0.001,10,0.3,30,64,0.870029091835022,0.8734177350997925,0.8717201352119446,0.8846657872200012,0.8836185336112976
3-3,250,0.0005,10,0.3,30,64,0.8956438302993774,0.9109055399894714,0.9032102227210999,0.9124071598052979,0.9122673869132996
3-3,250,0.001,10,0.3,30,64,0.8740565776824951,0.9021421670913696,0.887877345085144,0.897771954536438,0.8981788754463196
3-3,200,0.0005,10,0.3,30,64,0.9217436909675598,0.8544303774833679,0.8868114948272705,0.9021406769752502,0.8976985812187195
3-3,250,0.0005,12,0.3,30,64,0.8793103694915771,0.9268292784690857,0.9024447202682495,0.9078918695449829,0.9093056321144104
