Match,Number of epochs,Learning rate,Node features,Dropout rate,Patience,Hidden dimension,Precision,Recall,F1 Score,Accuracy,AUROC
2-2,100,0.0005,10,0.3,15,16,0.8220183253288269,0.7898448705673218,0.8056104779243469,0.8538201451301575,0.8417309522628784
2-2,100,0.0005,10,0.3,15,32,0.868183434009552,0.8476727604866028,0.8578055500984192,0.8922244906425476,0.8838056325912476
2-2,100,0.0005,10,0.3,15,64,0.8054128289222717,0.8289844989776611,0.8170286417007446,0.8576064705848694,0.8521978855133057
2-2,100,0.0005,10,0.3,15,52,0.8302940130233765,0.7866713404655457,0.8078942894935608,0.8565247058868408,0.8433246612548828
2-2,100,0.0005,10,0.3,15,28,0.9072474837303162,0.8519040942192078,0.8787052035331726,0.9098039269447327,0.8988628387451172
2-2,100,0.0005,10,0.3,15,24,0.8955163955688477,0.7887870073318481,0.8387701511383057,0.883705198764801,0.8657687902450562
2-2,100,0.0005,10,0.3,30,28,0.9005979299545288,0.8497884273529053,0.8744557499885559,0.9064232707023621,0.8957211375236511
2-2,100,0.0005,10,0.1,30,28,0.8709677457809448,0.8854019641876221,0.8781255483627319,0.90574711561203,0.9019025564193726
2-2,100,0.0005,10,0.75,30,28,0.8894736766815186,0.834273636341095,0.8609898090362549,0.8966869711875916,0.8848928809165955
2-2,150,0.0005,10,0.3,15,28,0.9421157836914062,0.8321579694747925,0.8837296366691589,0.9160243272781372,0.9001764059066772
2-2,150,0.0005,10,0.3,20,28,0.9174418449401855,0.8346262574195862,0.874076783657074,0.9077755212783813,0.8939527869224548
2-2,150,0.0007,10,0.3,15,28,0.9223300814628601,0.7704513669013977,0.839577317237854,0.8870858550071716,0.8650457859039307
2-2,150,0.0001,10,0.1,15,28,0.9211650490760803,0.8363893032073975,0.876732587814331,0.9098039269447327,0.8959310054779053
2-2,150,0.0005,10,0.3,15,28,0.8410074710845947,0.7535260915756226,0.7948670387268066,0.8508451581001282,0.8324550986289978
2-2,150,0.0005,12,0.3,15,28,0.9056933522224426,0.9107832908630371,0.9082311987876892,0.9291508793830872,0.9257147908210754
