Match,Number of epochs,Learning rate,Node features,Dropout rate,Patience,Hidden dimension,Precision,Recall,F1 Score,Accuracy,AUROC
3-2,200,0.0005,10,0.3,20,32,0.8528420329093933,0.8801889419555664,0.8662996888160706,0.8606045246124268,0.860078752040863
3-2,200,0.0005,10,0.3,30,64,0.8614241480827332,0.8931145668029785,0.8769831657409668,0.8714449405670166,0.8708631992340088
3-2,200,0.001,10,0.3,20,32,0.8340713381767273,0.8896346092224121,0.8609574437141418,0.8525698184967041,0.8515747785568237
3-2,200,0.001,10,0.5,30,32,0.8785998225212097,0.8796917796134949,0.8791454434394836,0.8759086728096008,0.8758071660995483
3-2,200,0.001,10,0.5,30,64,0.8722500205039978,0.8672632575035095,0.8697494864463806,0.8667261600494385,0.8667117357254028
3-2,200,0.0005,10,0.3,30,128,0.8854192495346069,0.8951031565666199,0.8902348875999451,0.8867491483688354,0.8865248560905457
3-2,200,0.001,10,0.3,30,128,0.8487703800201416,0.917971670627594,0.8820157647132874,0.8739956617355347,0.8728150725364685
3-2,200,0.001,10,0.5,30,128,0.8929926753044128,0.8774546384811401,0.885155439376831,0.883178174495697,0.883331835269928
3-2,200,0.0005,10,0.5,30,128,0.8865902423858643,0.8841660618782043,0.8853764533996582,0.8825404644012451,0.8824968338012695
3-2,200,0.0001,10,0.3,30,128,0.9025940895080566,0.882177472114563,0.8922690153121948,0.8907027244567871,0.8909315466880798
