s0;[S1, S2, S3, S4, S5];s2;5e-05
s0;[L11, L12, L13, L21, L22, L23, L31, L32, L33, L41, L42, L43, L51, L52, L53];s367;3.9161100000000014e-05
s0;[Sw1, Sw2, Sw3];s877;3e-06
s0;[I121, I131, I231];s962;7.83222e-06

s2;[S2, S3, S4, S5];s3;4e-05
s2;[L21, L22, L23, L31, L32, L33, L41, L42, L43, L51, L52, L53];s103;3.132888000000001e-05
s2;[Sw1, Sw2, Sw3];s312;3e-06
s2;[I121, I131, I231];s364;7.83222e-06

s3;[S3, S4, S5];s1;3.0000000000000004e-05
s3;[L31, L32, L33, L41, L42, L43, L51, L52, L53];s4;2.349666000000001e-05
s3;[Sw1, Sw2, Sw3];s73;3e-06
s3;[I121, I131, I231];s100;7.83222e-06

s4;[S3, S4, S5];s1;3.0000000000000004e-05
s4;[L32, L33];s5;5.221480000000001e-06
s4;[L41, L51];s71;5.221480000000001e-06
s4;[L42, L43, L52, L53];s85;1.0442960000000002e-05
s4;[Sw1];s73;1e-06
s4;[Sw2, Sw3];s38;2e-06
s4;[I121, I131];s95;5.221480000000001e-06
s4;[I231];s99;2.6107400000000005e-06

s5;[S3, L33, S4, S5, Sw3];s1;3.3610739999999996e-05
s5;[L41, L42, L51, L52];s6;1.0442960000000002e-05
s5;[L43, L53];s56;5.221480000000001e-06
s5;[Sw1, Sw2];s38;2e-06
s5;[I121];s66;2.6107400000000005e-06
s5;[I131, I231];s69;5.221480000000001e-06

s6;[S3, L33, S4, S5, Sw3];s1;3.3610739999999996e-05
s6;[L42];s7;2.6107400000000005e-06
s6;[L43];s22;2.6107400000000005e-06
s6;[L51];s37;2.6107400000000005e-06
s6;[L52];s41;2.6107400000000005e-06
s6;[L53];s45;2.6107400000000005e-06
s6;[Sw1];s38;1e-06
s6;[Sw2];s14;1e-06
s6;[I121];s51;2.6107400000000005e-06
s6;[I131];s53;2.6107400000000005e-06
s6;[I231];s55;2.6107400000000005e-06

s7;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s7;[L51, L52];s8;5.221480000000001e-06
s7;[L53];s16;2.6107400000000005e-06
s7;[Sw1, Sw2];s14;2e-06
s7;[I121];s19;2.6107400000000005e-06
s7;[I131, I231];s20;5.221480000000001e-06

s8;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s8;[L52];s9;2.6107400000000005e-06
s8;[L53];s11;2.6107400000000005e-06
s8;[Sw1, I121, I131];s14;6.221480000000001e-06
s8;[Sw2];s10;1e-06
s8;[I231];s15;2.6107400000000005e-06

s9;[S3, L33, S4, L43, S5, L53, Sw3];s1;3.883222e-05
s9;[Sw1, Sw2, I121, I131, I231];s10;9.832220000000002e-06

s10;[S3, L33, S4, L43, S5, L53, Sw3];s1;3.883222e-05

s11;[S3, L33, S4, L43, S5, L52, Sw2, Sw3];s1;3.9832219999999996e-05
s11;[Sw1, I121, I131];s12;6.221480000000001e-06
s11;[I231];s13;2.6107400000000005e-06

s12;[S3, L33, S4, L43, S5, L52, Sw2, Sw3, I231];s1;4.244296e-05

s13;[S3, L33, S4, L43, S5, L52, Sw1, Sw2, Sw3, I121, I131];s1;4.6053699999999996e-05

s14;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s14;[L52, Sw2, I231];s10;6.221480000000001e-06
s14;[L53];s12;2.6107400000000005e-06

s15;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s15;[L52, Sw1, Sw2, I121, I131];s10;9.832220000000002e-06
s15;[L53];s13;2.6107400000000005e-06

s16;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s16;[L51, L52];s11;5.221480000000001e-06
s16;[Sw1, Sw2];s12;2e-06
s16;[I121];s17;2.6107400000000005e-06
s16;[I131, I231];s18;5.221480000000001e-06

s17;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s17;[L51, L52, Sw1, Sw2, I131, I231];s12;1.2442960000000003e-05

s18;[S3, L33, S4, L43, S5, Sw2, Sw3, I231];s1;3.9832219999999996e-05
s18;[L51, Sw1, I121];s12;6.221480000000001e-06
s18;[L52];s13;2.6107400000000005e-06

s19;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s19;[L51, L52, Sw1, Sw2, I131, I231];s14;1.2442960000000003e-05
s19;[L53];s17;2.6107400000000005e-06

s20;[S3, L33, S4, L43, S5, Sw3];s1;3.622148e-05
s20;[L51, Sw1, I121];s14;6.221480000000001e-06
s20;[L52];s15;2.6107400000000005e-06
s20;[L53];s18;2.6107400000000005e-06
s20;[Sw2];s10;1e-06
s20;[I231];s21;2.6107400000000005e-06

s21;[S3, L33, S4, L43, S5, L53, Sw3];s1;3.883222e-05
s21;[L51, L52, Sw1, Sw2, I121];s10;9.832220000000002e-06

s22;[S3, L33, S4, L42, S5, Sw2, Sw3];s1;3.7221479999999995e-05
s22;[L51];s23;2.6107400000000005e-06
s22;[L52, L53];s27;5.221480000000001e-06
s22;[Sw1];s24;1e-06
s22;[I121, I131];s34;5.221480000000001e-06
s22;[I231];s36;2.6107400000000005e-06

s23;[S3, L33, S4, L42, S5, Sw2, Sw3];s1;3.7221479999999995e-05
s23;[L52, L53];s11;5.221480000000001e-06
s23;[Sw1, I121, I131];s24;6.221480000000001e-06
s23;[I231];s26;2.6107400000000005e-06

s24;[S3, L33, S4, L42, S5, Sw2, Sw3];s1;3.7221479999999995e-05
s24;[L52, L53];s12;5.221480000000001e-06
s24;[I231];s25;2.6107400000000005e-06

