Match,Number of epochs,Learning rate,Node features,Dropout rate,Patience,Hidden dimension,Precision,Recall,F1 Score,Accuracy,AUROC
1-1,150,0.0005,10,0.3,15,32,0.8629022240638733,0.9236129522323608,0.8922260403633118,0.9071440696716309,0.9095091819763184
1-1,150,0.0005,10,0.3,30,32,0.8910625576972961,0.891182005405426,0.8911222815513611,0.9093748331069946,0.9067621231079102
1-1,150,0.0005,10,0.8,30,32,0.8874470591545105,0.898150622844696,0.8927667737007141,0.9102113842964172,0.9084792733192444
1-1,150,0.005,10,0.8,30,32,0.8797704577445984,0.8835433125495911,0.88165283203125,0.9012882709503174,0.8987398147583008
1-1,150,0.0005,10,0.01,30,64,0.8754774928092957,0.9214687943458557,0.8978845477104187,0.91277676820755,0.9140250086784363
1-1,200,0.0005,10,0.1,30,128,0.8982565999031067,0.9252211451530457,0.9115394949913025,0.9252690672874451,0.9252622723579407
1-1,200,0.0003,10,0.1,30,128,0.8907397985458374,0.9100777506828308,0.900304913520813,0.9161229133605957,0.9152547717094421
1-1,200,0.0008,10,0.15,30,128,0.9338831901550293,0.9104797840118408,0.9220329523086548,0.9359210133552551,0.9322673082351685
